61234.717861,0.09
61234.790861,0.08
61234.912861,0.055
61235.014861,0.055
61235.075861,0.055
61235.157861,0.055
61235.231861,0.06
61235.302861,0.06
61235.383861,0.06
61235.455861,0.065
61235.539861,0.065
61235.611861,0.075
61235.673861,0.125
61235.754861,0.465
61235.815861,0.775
61235.887861,0.785
61235.959861,0.775
61236.010861,0.755
61236.070861,0.75
61236.121861,0.745
61236.173861,0.745
61236.254861,0.74
61236.326861,0.735
61236.448861,0.695
61236.511861,0.4
61236.593861,0.21
61236.675861,0.085
61236.727861,0.07
61236.778861,0.07
61236.840861,0.065
61236.901861,0.07
61236.982861,0.07
61237.043861,0.075
61237.135861,0.075
61237.196861,0.075
61237.280861,0.075
61237.331861,0.07
61237.402861,0.065
61237.484861,0.065
61237.556861,0.06
61237.627861,0.06
61237.688861,0.06
61237.750861,0.06
61237.831861,0.06
61237.945861,0.06
61238.026861,0.06
61238.088861,0.065
