"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1"
457.733,0.00,,,,0.09,0.21
460.940,1.00,460.94,,3.42,,
461.155,0.00,,,,0.09,0.22
464.751,1.00,464.75,7.23,3.81,,
464.965,0.00,,,,0.09,0.21
468.174,1.00,468.17,,3.42,,
468.390,0.00,,,,0.09,0.22
471.985,1.00,471.99,7.23,3.81,,
472.200,0.00,,,,0.09,0.21
475.406,1.00,475.41,,3.42,,
475.623,0.00,,,,0.09,0.22
479.220,1.00,479.22,7.23,3.81,,
479.436,0.00,,,,0.09,0.22
482.638,1.00,482.64,,3.42,,
482.856,0.00,,,,0.09,0.22
486.452,1.00,486.45,7.23,3.81,,
486.668,0.00,,,,0.09,0.22
489.871,1.00,489.87,,3.42,,
490.089,0.00,,,,0.09,0.22
493.685,1.00,493.69,7.23,3.81,,
493.902,0.00,,,,0.09,0.22
497.103,1.00,497.10,,3.42,,
497.322,0.00,,,,0.09,0.22
500.918,1.00,500.92,7.23,3.82,,
501.137,0.00,,,,0.09,0.22
504.334,1.00,504.33,,3.42,,
504.554,0.00,,,,0.09,0.22
508.152,1.00,508.15,7.23,3.82,,
508.371,0.00,,,,0.09,0.22
511.568,1.00,511.57,,3.42,,
511.789,0.00,,,,0.09,0.22
515.384,1.00,515.38,7.23,3.82,,
515.604,0.00,,,,0.09,0.22
518.800,1.00,518.80,,3.42,,
519.022,0.00,,,,0.09,0.22
522.617,1.00,522.62,7.23,3.82,,
522.838,0.00,,,,0.09,0.22
526.032,1.00,526.03,,3.42,,
526.255,0.00,,,,0.09,0.22
529.851,1.00,529.85,7.23,3.82,,
530.073,0.00,,,,0.09,0.22
533.265,1.00,533.26,,3.41,,
533.489,0.00,,,,0.09,0.22
537.084,1.00,537.08,7.23,3.82,,
537.306,0.00,,,,0.09,0.22
540.498,1.00,540.50,,3.41,,
540.722,0.00,,,,0.09,0.22
544.317,1.00,544.32,7.23,3.82,,
544.540,0.00,,,,0.09,0.22
547.731,1.00,547.73,,3.41,,
547.956,0.00,,,,0.09,0.22
551.551,1.00,551.55,7.23,3.82,,
551.775,0.00,,,,0.09,0.22
554.962,1.00,554.96,,3.41,,
555.188,0.00,,,,0.09,0.23
558.784,1.00,558.78,7.23,3.82,,
559.009,0.00,,,,0.09,0.23
562.195,1.00,562.20,,3.41,,
562.422,0.00,,,,0.09,0.23
566.017,1.00,566.02,7.23,3.82,,
566.244,0.00,,,,0.09,0.23
569.428,1.00,569.43,,3.41,,
569.655,0.00,,,,0.09,0.23
573.249,1.00,573.25,7.23,3.82,,
573.477,0.00,,,,0.09,0.23
576.657,1.00,576.66,,3.41,,
576.886,0.00,,,,0.09,0.23
580.483,1.00,580.48,7.23,3.83,,
580.711,0.00,,,,0.09,0.23
583.891,1.00,583.89,,3.41,,
584.121,0.00,,,,0.09,0.23
587.715,1.00,587.72,7.23,3.82,,
587.944,0.00,,,,0.09,0.23
591.124,1.00,591.12,,3.41,,
591.355,0.00,,,,0.09,0.23
594.949,1.00,594.95,7.23,3.82,,
595.179,0.00,,,,0.09,0.23
598.357,1.00,598.36,,3.41,,
598.588,0.00,,,,0.09,0.23
602.183,1.00,602.18,7.23,3.83,,
602.414,0.00,,,,0.09,0.23
605.590,1.00,605.59,,3.41,,
605.822,0.00,,,,0.09,0.23
609.417,1.00,609.42,7.23,3.83,,
609.649,0.00,,,,0.09,0.23
612.823,1.00,612.82,,3.41,,
613.056,0.00,,,,0.09,0.23
616.649,1.00,616.65,7.23,3.83,,
616.881,0.00,,,,0.09,0.23
620.056,1.00,620.06,,3.41,,
