"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1","Time (s) Run #2","State Run #2","Block Event Times (s) Run #2","Period (s) Run #2","Block-to-Block Times (s) Run #2","Speed (m/s) Run #2","Time in Gate (s) Run #2"
101.762,1.00,101.76,,2.61,,,100.218,1.00,100.22,,0.04,,
101.768,0.00,,,,7.69,0.01,100.233,0.00,,,,3.36,0.01
101.772,1.00,101.77,2.62,0.01,,,104.225,1.00,104.23,4.04,4.01,,
101.779,0.00,,,,7.04,0.01,104.241,0.00,,,,3.11,0.02
105.307,1.00,105.31,,3.54,,,104.261,1.00,104.26,,0.04,,
105.315,0.00,,,,6.58,0.01,104.279,0.00,,,,2.82,0.02
105.320,1.00,105.32,3.55,0.01,,,106.335,1.00,106.33,2.11,2.07,,
105.326,0.00,,,,7.35,0.01,106.353,0.00,,,,2.81,0.02
107.928,1.00,107.93,,2.61,,,106.376,1.00,106.38,,0.04,,
107.936,0.00,,,,6.17,0.01,106.391,0.00,,,,3.23,0.02
111.483,1.00,111.48,6.16,3.56,,,110.397,1.00,110.40,4.06,4.02,,
111.491,0.00,,,,6.58,0.01,110.412,0.00,,,,3.21,0.02
111.500,1.00,111.50,,0.02,,,110.427,1.00,110.43,,0.03,,
111.508,0.00,,,,5.75,0.01,110.444,0.00,,,,2.82,0.02
114.085,1.00,114.08,2.60,2.59,,,112.504,1.00,112.50,2.11,2.08,,
114.092,0.00,,,,6.67,0.01,112.520,0.00,,,,3.09,0.02
114.096,1.00,114.10,,0.01,,,112.529,1.00,112.53,,0.03,,
114.103,0.00,,,,7.35,0.01,112.544,0.00,,,,3.40,0.01
117.656,1.00,117.66,3.57,3.56,,,116.570,1.00,116.57,4.07,4.04,,
117.663,0.00,,,,6.76,0.01,116.600,0.00,,,,1.68,0.03
117.670,1.00,117.67,,0.01,,,118.664,1.00,118.66,,2.09,,
117.678,0.00,,,,5.88,0.01,118.680,0.00,,,,3.16,0.02
120.244,1.00,120.24,2.59,2.57,,,118.685,1.00,118.69,2.11,0.02,,
120.252,0.00,,,,5.81,0.01,118.700,0.00,,,,3.38,0.01
120.261,1.00,120.26,,0.02,,,122.735,1.00,122.73,,4.05,,
120.268,0.00,,,,6.67,0.01,122.751,0.00,,,,3.05,0.02
123.825,1.00,123.82,3.58,3.56,,,122.768,1.00,122.77,4.08,0.03,,
123.838,0.00,,,,3.82,0.01,122.787,0.00,,,,2.67,0.02
126.418,1.00,126.42,,2.59,,,124.804,1.00,124.80,,2.04,,
126.425,0.00,,,,6.94,0.01,124.823,0.00,,,,2.65,0.02
126.430,1.00,126.43,2.61,0.01,,,124.846,1.00,124.85,2.08,0.04,,
126.438,0.00,,,,6.33,0.01,124.862,0.00,,,,3.09,0.02
130.001,1.00,130.00,,3.57,,,128.901,1.00,128.90,,4.06,,
130.009,0.00,,,,6.33,0.01,128.918,0.00,,,,2.94,0.02
132.570,1.00,132.57,6.14,2.57,,,128.939,1.00,128.94,4.09,0.04,,
132.579,0.00,,,,5.68,0.01,128.958,0.00,,,,2.66,0.02
132.588,1.00,132.59,,0.02,,,130.961,1.00,130.96,,2.02,,
132.596,0.00,,,,6.41,0.01,130.981,0.00,,,,2.58,0.02
136.168,1.00,136.17,3.60,3.58,,,131.002,1.00,131.00,2.06,0.04,,
136.176,0.00,,,,6.67,0.01,131.019,0.00,,,,3.09,0.02
136.181,1.00,136.18,,0.01,,,135.075,1.00,135.07,,4.07,,
136.189,0.00,,,,6.10,0.01,135.090,0.00,,,,3.23,0.02
138.737,1.00,138.74,2.57,2.56,,,135.098,1.00,135.10,4.10,0.02,,
138.745,0.00,,,,6.02,0.01,135.115,0.00,,,,2.98,0.02
138.750,1.00,138.75,,0.01,,,137.135,1.00,137.14,,2.04,,
138.758,0.00,,,,6.67,0.01,137.151,0.00,,,,3.07,0.02
142.338,1.00,142.34,3.60,3.59,,,137.155,1.00,137.15,2.06,0.02,,
142.346,0.00,,,,6.10,0.01,137.170,0.00,,,,3.29,0.02
142.355,1.00,142.36,,0.02,,,141.244,1.00,141.24,,4.09,,
142.364,0.00,,,,5.56,0.01,141.259,0.00,,,,3.21,0.02
144.909,1.00,144.91,2.57,2.55,,,141.267,1.00,141.27,4.11,0.02,,
144.919,0.00,,,,4.90,0.01,141.284,0.00,,,,2.92,0.02
148.504,1.00,148.50,,3.60,,,143.280,1.00,143.28,,2.01,,
148.512,0.00,,,,6.33,0.01,143.299,0.00,,,,2.66,0.02
148.516,1.00,148.52,3.61,0.01,,,143.314,1.00,143.31,2.05,0.03,,
148.523,0.00,,,,6.85,0.01,143.331,0.00,,,,3.07,0.02
151.073,1.00,151.07,,2.56,,,147.407,1.00,147.41,,4.09,,
151.086,0.00,,,,3.85,0.01,147.425,0.00,,,,2.81,0.02
154.680,1.00,154.68,6.16,3.61,,,147.447,1.00,147.45,4.13,0.04,,
154.688,0.00,,,,6.10,0.01,147.467,0.00,,,,2.51,0.02
154.696,1.00,154.70,,0.02,,,149.427,1.00,149.43,,1.98,,
154.706,0.00,,,,5.38,0.01,149.447,0.00,,,,2.50,0.02
157.222,1.00,157.22,2.54,2.53,,,149.472,1.00,149.47,2.03,0.05,,
157.231,0.00,,,,5.15,0.01,149.490,0.00,,,,2.91,0.02
157.241,1.00,157.24,,0.02,,,153.578,1.00,153.58,,4.11,,
157.249,0.00,,,,6.02,0.01,153.596,0.00,,,,2.81,0.02
160.851,1.00,160.85,3.63,3.61,,,153.615,1.00,153.61,4.14,0.04,,
160.859,0.00,,,,6.17,0.01,153.635,0.00,,,,2.48,0.02
160.865,1.00,160.86,,0.01,,,155.590,1.00,155.59,,1.98,,
160.874,0.00,,,,5.49,0.01,155.609,0.00,,,,2.58,0.02
163.383,1.00,163.38,2.53,2.52,,,155.625,1.00,155.63,2.01,0.04,,
163.393,0.00,,,,5.15,0.01,155.642,0.00,,,,2.99,0.02
163.404,1.00,163.40,,0.02,,,159.752,1.00,159.75,,4.13,,
163.413,0.00,,,,5.95,0.01,159.768,0.00,,,,3.14,0.02
167.023,1.00,167.02,3.64,3.62,,,159.772,1.00,159.77,4.15,0.02,,
167.036,0.00,,,,3.57,0.01,159.789,0.00,,,,2.92,0.02
169.561,1.00,169.56,,2.54,,,161.756,1.00,161.76,,1.98,,
169.576,0.00,,,,3.25,0.02,161.773,0.00,,,,2.86,0.02
173.191,1.00,173.19,6.17,3.63,,,161.779,1.00,161.78,2.01,0.02,,
173.203,0.00,,,,4.13,0.01,161.795,0.00,,,,3.07,0.02
175.717,1.00,175.72,,2.53,,,165.917,1.00,165.92,,4.14,,
175.725,0.00,,,,6.02,0.01,165.934,0.00,,,,2.81,0.02
175.728,1.00,175.73,2.54,0.01,,,165.951,1.00,165.95,4.17,0.03,,
175.736,0.00,,,,6.33,0.01,165.971,0.00,,,,2.46,0.02
179.360,1.00,179.36,,3.63,,,167.893,1.00,167.89,,1.94,,
179.369,0.00,,,,5.56,0.01,167.915,0.00,,,,2.35,0.02
179.379,1.00,179.38,3.65,0.02,,,167.938,1.00,167.94,1.99,0.04,,
179.390,0.00,,,,4.85,0.01,167.956,0.00,,,,2.81,0.02
181.874,1.00,181.87,,2.49,,,172.083,1.00,172.08,,4.14,,
181.883,0.00,,,,5.10,0.01,172.102,0.00,,,,2.63,0.02
181.891,1.00,181.89,2.51,0.02,,,172.125,1.00,172.13,4.19,0.04,,
181.900,0.00,,,,5.88,0.01,172.147,0.00,,,,2.36,0.02
185.531,1.00,185.53,,3.64,,,174.046,1.00,174.05,,1.92,,
185.540,0.00,,,,5.43,0.01,174.067,0.00,,,,2.30,0.02
