"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/26/2022 09:48:38 am,311.357,0.00,0.10,0.48
09/26/2022 09:48:41 am,314.885,1.00,,
09/26/2022 09:48:41 am,314.997,0.00,0.11,0.45
09/26/2022 09:48:45 am,318.543,1.00,,
09/26/2022 09:48:45 am,318.645,0.00,0.10,0.49
09/26/2022 09:48:49 am,322.127,1.00,,
09/26/2022 09:48:49 am,322.206,0.00,0.08,0.63
09/26/2022 09:48:52 am,325.789,1.00,,
09/26/2022 09:48:52 am,325.880,0.00,0.09,0.55
09/26/2022 09:48:56 am,329.424,1.00,,
09/26/2022 09:48:56 am,329.519,0.00,0.09,0.53
09/26/2022 09:49:00 am,333.042,1.00,,
09/26/2022 09:49:00 am,333.131,0.00,0.09,0.56
09/26/2022 09:49:03 am,336.646,1.00,,
09/26/2022 09:49:03 am,336.726,0.00,0.08,0.62
09/26/2022 09:49:07 am,340.296,1.00,,
09/26/2022 09:49:07 am,340.406,0.00,0.11,0.45
09/26/2022 09:49:10 am,343.900,1.00,,
09/26/2022 09:49:11 am,344.013,0.00,0.11,0.44
09/26/2022 09:49:14 am,347.517,1.00,,
09/26/2022 09:49:14 am,347.621,0.00,0.10,0.48
09/26/2022 09:49:18 am,351.188,1.00,,
09/26/2022 09:49:18 am,351.292,0.00,0.10,0.48
09/26/2022 09:49:21 am,354.782,1.00,,
09/26/2022 09:49:21 am,354.896,0.00,0.11,0.44
09/26/2022 09:49:25 am,358.392,1.00,,
09/26/2022 09:49:25 am,358.507,0.00,0.12,0.43
09/26/2022 09:49:29 am,362.067,1.00,,
09/26/2022 09:49:29 am,362.160,0.00,0.09,0.54
09/26/2022 09:49:32 am,365.654,1.00,,
09/26/2022 09:49:32 am,365.739,0.00,0.09,0.59
09/26/2022 09:49:36 am,369.289,1.00,,
09/26/2022 09:49:36 am,369.387,0.00,0.10,0.51
09/26/2022 09:49:39 am,372.897,1.00,,
09/26/2022 09:49:39 am,372.994,0.00,0.10,0.52
09/26/2022 09:49:43 am,376.540,1.00,,
09/26/2022 09:49:43 am,376.626,0.00,0.09,0.58
09/26/2022 09:49:47 am,380.107,1.00,,
09/26/2022 09:49:47 am,380.206,0.00,0.10,0.50
09/26/2022 09:49:50 am,383.772,1.00,,
09/26/2022 09:49:50 am,383.895,0.00,0.12,0.41
09/26/2022 09:49:54 am,387.384,1.00,,
09/26/2022 09:49:54 am,387.500,0.00,0.12,0.43
09/26/2022 09:49:57 am,390.991,1.00,,
09/26/2022 09:49:58 am,391.103,0.00,0.11,0.45
09/26/2022 09:50:01 am,394.647,1.00,,
09/26/2022 09:50:01 am,394.759,0.00,0.11,0.44
09/26/2022 09:50:05 am,398.262,1.00,,
